common_name;scientific_name;start_time;end_time;confidence;label;filepath;filename;validScientificNameId;Species_NorwegianName;Family_ScientificName;Family_NorwegianName;Order_ScientificName;Order_NorwegianName;Family_ScientificNameId;Order_ScientificNameId;Species_ScientificNameId;Redlist_Status
Redwing;Turdus iliacus;87.0;90.0;0.6077510118484497;Turdus iliacus_Redwing;data_input_lyd/test.wav;test.wav;4547;rødvingetrost;Turdidae;trostefamilien;Passeriformes;spurvefugler;;;4547;LC
Pine Grosbeak;Pinicola enucleator;96.0;99.0;0.7828671932220459;Pinicola enucleator_Pine Grosbeak;data_input_lyd/test.wav;test.wav;4260;konglebit;Fringillidae;finkefamilien;Passeriformes;spurvefugler;;;4260;NT
European Pied Flycatcher;Ficedula hypoleuca;162.0;165.0;0.9743534326553345;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/test.wav;test.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
European Pied Flycatcher;Ficedula hypoleuca;174.0;177.0;0.888216495513916;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/test.wav;test.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Red-throated Loon;Gavia stellata;246.0;249.0;0.7169651985168457;Gavia stellata_Red-throated Loon;data_input_lyd/test.wav;test.wav;3926;smålom;Gaviidae;lomfamilien;Gaviiformes;lomfugler;;;3926;LC
European Pied Flycatcher;Ficedula hypoleuca;249.0;252.0;0.9072133302688599;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/test.wav;test.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
European Pied Flycatcher;Ficedula hypoleuca;255.0;258.0;0.6605768799781799;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/test.wav;test.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
European Pied Flycatcher;Ficedula hypoleuca;261.0;264.0;0.9300158619880676;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/test.wav;test.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
European Pied Flycatcher;Ficedula hypoleuca;294.0;297.0;0.6829053163528442;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/test.wav;test.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
European Pied Flycatcher;Ficedula hypoleuca;324.0;327.0;0.9420471787452698;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/test.wav;test.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Barn Swallow;Hirundo rustica;384.0;387.0;0.7417044639587402;Hirundo rustica_Barn Swallow;data_input_lyd/test.wav;test.wav;4277;låvesvale;Hirundinidae;svalefamilien;Passeriformes;spurvefugler;;;4277;LC
European Pied Flycatcher;Ficedula hypoleuca;24.0;27.0;0.9966139197349548;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Redwing;Turdus iliacus;36.0;39.0;0.6083844304084778;Turdus iliacus_Redwing;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4547;rødvingetrost;Turdidae;trostefamilien;Passeriformes;spurvefugler;;;4547;LC
European Pied Flycatcher;Ficedula hypoleuca;57.0;60.0;0.8153464794158936;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
European Pied Flycatcher;Ficedula hypoleuca;60.0;63.0;0.7877737283706665;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
European Pied Flycatcher;Ficedula hypoleuca;63.0;66.0;0.9493625164031982;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
